Number,Photo,Artist,Artwork Title,Year,Location (Country),"Tentative Description (Note: each description was not provided by the artists, but was generated using artificial intelligence with human supervision, and is still open to different interpretations).",Website link,Author Photo / Copyrights ,,,,,,,,,,,,,,,,,,,,,,,,,,Aware_SD
315,Picture,Eduardo Kobra,Tolerância,2028,United States,"Side profiles of Mother Teresa and Mahatma Gandhi. Mother Teresa, depicted with a white turban, with hands clasped. Mahatma Gandhi wearing glasses. The backdrop and figures are both adorned with a kaleidoscope of multi-colored geometric shapes. The architecture of the building, with stairs and balconies, is integrated into the artwork. (On the artist's website, it's noted that the mural features historical pacifist figures from India, emphasizing their dedication to peace and religion. The artwork illustrates that different religions should act as bridges, not barriers, reflecting a common goal of peace. This mural invites viewers to use dialogue as a tool for fostering a culture of peace.)",https://www.instagram.com/p/BmrQAwElgsH/,Kobra,,,,,,,,,,,,,,,,,,,,,,,,,,2.45
316,Picture,Philippe Hérard,(Unknown Title),2019,France,"A person crouched inside a green trash bin. The person appears shirtless, has a dark cap and their posture is slightly hunched, with their head bent forward as if lost. They have a yellow paddle in their hands. The green trash bin stands against a beige wall, which has visible signs of peeling paint and old posters. The overall color scheme is muted. Dominant colors include shades of green (trash bin), tan, and brown (walls), and the natural skin tones of the figure.",https://www.instagram.com/p/Bv3ghbzl89h/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63
321,Picture,C'Marie & Egrito,Together,2021,Portugal,"Five portraits of diverse individuals, men and women, placed side by side with different cultural background. Above and below the portraits, abstract shapes and brush strokes in colors of yellow, blue, and red are present. The word ""TOGETHER"" stretches across the bottom, with the letters displayed in alternating colors of orange and teal.
",https://www.facebook.com/galeriadearteurbana/photos/basw.AbpFo6YHQeKg93WdyYCqSpoci6jQx_lIb4d5EjHSI76ZSapsGZsBNDa6tFdJyfUmf969ja5CJpSPWFtUHeD5boUhzGkpe0UvVYFnNWPVR-UFZeQDR8M9dniiXC9To7UYegoKOgO2HyZu5WCgK_SotCtj/5501996873154725/?opaqueCursor=AbpbmkWDdIE_3dVtnhKLp-M3uGpR3VN-qhgPR-hqG23nK_rD47nPnMtn-uuK3gsfeAOB0O99iB4rfoqEmhTk9qYIDFcZFQNImGd-qsemYvXlhTIseoe7n2r7yVj9HLGp5jEU3DyoJc_ZVeC83YmjDff3gYwY-hRolETZJGl30oedF3LRQH7awJGi_mDvSi_B9-X_DEGGyQuY4z0slyeDCPVTxhPdYO2HV_YukZxx-mvxxMAoGMNv1TPpNLZn4rTRUCj1ZlakIg7yR3FipxtRP4ZO-v66iFx9m16WmxSHz8Vm_uZWKqLBCyD_4kLAC4XZUVo6VcbwCSrwTp6XlB7hO03dgk8OjbRpyIjHgyImZKhMFlIOS1Qyo6--B4vtK7MrJmVRbGaWCNGtPgmC6AOjv7WEwaM6fizNdeKT7Cvhtdt7tohCo3WaY2dD4KZ4uVVQO7x-k2uZvyJLIijUXhhrk6GK4cerjIFoD3R-2DpjeEw7Pc6YEkF7vBPU-4-3kzgpV4vvRQDlnJ6qdaNiUh3MuYVspHcrNdcxOMKGMMI9D6Zw6X2xiYcHHw-cJ86X5iUNsJpwGTqFSsd6GX1yt2htaBTOhdf2XnWcZ8nWDX2uU8DQiWhJprC5w76tPKjyjz6L3dutSVIsJc4Dh9eO-W1rlkVBLk4QilNL5FV0mIewkQs9gTxYUud69UzWLh1GOh0yb8_tg2thgVgsfQXxO1sxZlGBnaKhoQSA2PlhicP7NhHbOZeuoCDnem17GL_Gjsk6un28eQECj8Y5Q0QdtLUr120vbLcWdj2Y2l8JAWGHNH--oJuaFnUmBjM_xl_eurT3O1SzwFQTfyUBMPp8ZJ1v0qg4-Z5pxx2HZ2wBLOCvaJh01cvea1wyLi8DuXaKueaV4nO4A0_lQ4m1ch-3jHYPdqgQBJUO3ZwSdD04XOC5eNKu5UDumade_qyOK-meSyWZNYY,Galeria de Arte Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
322,Picture,Philippe Hérard,The ArtFabric,2017,Germany,"A figure, seemingly crafted or pasted from brown paper, wearing a hood and positioned inside what appears to be a cardboard box. The figure has its head down. A red and white lifebuoy is visible on the cardboard box. The background consists of a wall with patches of red and white, along with some scribbled or painted marks.
",https://www.instagram.com/p/BZbYLfcgktG/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42
323,Picture,Philippe Hérard,Dans l'ordre des choses,(Unknown),France,"This mural shows four people lying down and the hands on the stomach, one above the other, on different levels: The top person is wearing a crown and there’s a small symbol above the head. 2. The second person is wearing a hat. The third person is dressed like a police officer. The last person, at the bottom, is thin, nude, is lying on a life preserver and has a bag over the head, looking more fragile and painted in color skin. Most of the mural is in black and white, except for the red and white life preserver.
",https://www.instagram.com/p/BYP3LOwgZX1/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60
324,Picture,Robô,World In Our Hands,(Unknown),Portugal,"Large depiction of a human hand. The hand is painted with vibrant colors, with each region or segment of the fingers and palm showcasing different hues. The overlay of world continents is painted on the palm and fingers, suggesting a map of the world but in abstract and fragmented form. The backdrop of the artwork is a dark wall with windows. ",https://barbarapicci.files.wordpress.com/2019/07/robot-40lisbon-portugal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59
325,Picture,Robô,A nossa casinha,2019?,Portugal,"Two children: a person with voluminous curly hair holding an open book on their lap, and a person beside them, playing with colorful building blocks that resemble LEGO pieces. The background has soft pink color, which contrasts with the vibrant colors of the children's attire and toys. (It was painted in a building known as ""A Nossa Casinha,"" which serves as a hub for social, recreational, and educational activities).",https://scontent.flis6-1.fna.fbcdn.net/v/t1.6435-9/80706498_2666255410135884_4098036366804254720_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=9267fe&_nc_ohc=JT9df6V4N44AX9-T6qj&_nc_ht=scontent.flis6-1.fna&oh=00_AfA4wEhikd-KJJNzEJ_F7pEx6cOHHzqZIEIvgZzkQGGOJA&oe=63F2A2EE,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
326,Picture,Diana Zyan,De la ausencia y de tí,2022,Mexico,"Three people in a shared activity. Each peopleis holding and inspecting a piece of fabric. The fabrics they hold are different shades of pink and white, and the peopleappear to be focused and contemplative in their actions. The background is a mix of darker tones with abstract shapes. Colors: shades of pink and white for the fabrics, with the peopledepicted in natural skin tones. The background consists of darker, muted colors of blue.
",https://www.instagram.com/p/Cj1l57cDWwY/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63
330,Picture,Philippe Hérard,(Unknown Title),(Unknown date),France,"A human figure (man) with the body structure of a bird, perched on a wire with other four birds. The person is looking downward, possibly in the direction of the empty bench below. An olive tree branch hangs overhead, casting shadows on a warm beige wall. Colors: beige for the wall, natural green for the tree, and earthy tones for the figure and the birds.
",https://www.instagram.com/p/CDJEVYdFJ88/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
332,Picture,Nark,Disparidade dos sonhos,2020,Portugal,"A child turned away from the viewer, with their back facing outward. The child is wearing a pair of bright blue, polka-dotted butterfly wings. They are dressed in camouflage shorts and a brown shirt. The child is in a kneeling or crouching position, holding the stock and a portion of the barrel of a firearm. The background is a vivid red. The artist's name is written in the top left corner, and the signature ""CPK"" is located in the bottom right. ",https://www.instagram.com/p/CJWj_X5jFuX/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
333,Picture,Nark,Sonhar fora da caixa,2018,Portugal,"A young child, possibly a boy, wearing a cardboard box as if it were a helmet or space explorer's headgear. The child appears intrigued as they reaches out to touch a rocket toy in their left hand. The background ihas deep blue galaxy, complete with stars, a planet with rings, and other celestial sketches. The nebulous galaxy swirls into the shape of a pointing hand. A unique spaceship, an astronaut, and a crescent moon are also doodled on the blue backdrop. On the top right corner, the artist name can be seen.
",https://www.instagram.com/p/Br5-4BNDtUY/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39
334,Picture,Mr. Rosh Panonsky,Za naše heroje,2021,Serbia,"The line-up of four iconic superhero faces (from left to right: Spider-person, Batperson, Captain America, and Iron Man) juxtaposed with the face of a medical professional wearing a surgical mask in the middle. A hashtag is written at the bottom: ""#ZANASEHEROJE"", which could possibly translate to a local language's expression of gratitude or appreciation for frontline workers. Additionally, there's a nameplate on the bottom right that reads ""УЛИЦА ПОСПИТЕРА"". A vibrant array of colors is used, mostly the trademark hues associated with each superhero.
",https://www.instagram.com/p/CBSUxxChgp2/,Mr. Rosh Panonsky,,,,,,,,,,,,,,,,,,,,,,,,,,2.14
335,Picture,Adry Del Rocio & Carlos Alberto GH,Nuestra fuerza colectiva no tiene fronteras,2022,United States,"Two females, possibly of indigenous descent, positioned adjacent to one another. The leftmost figure holds a nest with two birdlings while an eagle, with expanded wings seems ready to take flight from their hand. The rightmost figure merges into a cacti that transform into colorful butterfly wings as they extend rightward. A vivid palette with a spectrum of blues, purples, greens, and oranges. ",https://www.instagram.com/p/CigTagkuJ16/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09
338,Picture,Theic Licuado (Camilo Nunez),Todos somos um,(Unknown date),Portugal,"Two peoplestanding side by side against a light-colored building. The person on the left has short, silver hair, wears a green sleeveless top, and holds an olive branch. The person on the right has an afro hairstyle, dons glasses, and is dressed in a white shirt and maroon skirt. They also holds an olive branch. Above them, there's an inscription on the building which reads, ""Todos Somos Um"" (""We are all One""). Colors muted with dominant shades of green, white, maroon, and the natural skin tones of the people.
",https://www.instagram.com/p/Bkx5svwhuI7/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15
343,Picture,Tamara Alves,DISQUIET HEART (Dias do Desassossego),2017,Portugal,"Close-up depiction of a person's upper body and face in partial view. The chest is adorned with branches that have blooming red flowers. The petals of these flowers seem to be drifting away or being carried by an unseen wind. Colors: muted tones of pink, white, and grey, with red from the flowers. ",https://i.pinimg.com/originals/a4/1b/7c/a41b7c9fc3e6557ae06403859b6b052f.jpg,"Tamara Alves, https://tamaraalves.com/",,,,,,,,,,,,,,,,,,,,,,,,,,2.48
344,Picture,Theic Licuado (Camilo Nunez),“La cosecha”,2019,Spain,"Several individuals, possibly farmers, involved in the process of picking and collecting citrus fruits, likely oranges. These activities are painted on the walls of buildings. The predominant colors in the mural are earthy tones of brown, green, and orange. These shades reinforce the theme of nature, agriculture, and labor.
",https://www.instagram.com/p/BzveHpQInYO/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
345,Picture,Tamara Alves,Wild Orphan,2014,Portugal,"The mural depicts a large figure of a person with multiple arms. Each of their hands holds strings that are connected to their other hands. The person is with closed eyes and lips slightly parted. their hair is intricately styled in braids. They wears a detailed dress with a heart at the center of their chest. The background is plain brown. The mural employs a muted color palette, dominated by grayscale, brown with hints of red. ",https://www.instagram.com/p/u8ZW66kAXu/,WOOL – Pedro Seixo Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,2.66
347,Picture,Eduardo Kobra,Raoni,2017,Portugal,"Portrait of a face with intricate geometric patterns, bright colors, and tribal-like adornments. The background radiates outwards in a sunburst pattern, and the Brazilian flag floats at the top. The piece employs a spectrum of colors, with each segment of the face showcasing different shades – blue, red, yellow, and green, among others. (On the artist's website, it's noted that it features a portrait of Chief Raoni, an indigenous leader from the Caiapó tribe. This artwork, part of a larger initiative to protect indigenous peoples and preserve the Amazon rainforest, aims to raise awareness of the challenges faced by indigenous communities globally. The mural emphasizes the importance of valuing ethnic diversity).",https://www.instagram.com/p/CN3WGdaMu4u/,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01
349,Picture,Theic Licuado (Camilo Nunez),La resistencia,2018,Uruguay,"Three peoplestand side by side, hands interlocked. Their faces are not visible, as they are cropped from view. They wear long-sleeved shirts in distinct colors: green, blue, and maroon. The background is a neutral beige, which contrasts with the darker tones of their clothing.",https://www.instagram.com/p/Bg1vm4rHXRq/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43
